Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,128.000000,128.500000,127.900002,128.149994,126.143349,399362
2017-10-25,127.699997,128.149994,125.699997,126.000000,124.027023,544507
2017-10-26,125.650002,127.050003,125.650002,126.599998,124.617622,508267
2017-10-27,127.449997,129.000000,127.099998,128.050003,126.044930,542038
2017-10-30,127.750000,129.199997,127.599998,128.750000,126.733963,324561
2017-10-31,129.000000,129.750000,128.250000,128.750000,126.733963,340329
2017-11-01,128.949997,129.649994,128.850006,128.949997,126.930832,311208
2017-11-02,128.800003,129.649994,128.000000,128.600006,126.586311,301678
2017-11-03,128.600006,129.199997,128.399994,129.050003,127.029266,346348
2017-11-06,129.149994,129.649994,128.850006,129.449997,127.422997,242475
2017-11-07,129.449997,129.449997,128.300003,128.300003,126.291016,446853
2017-11-08,128.300003,129.649994,128.300003,129.100006,127.078484,337441
2017-11-09,129.149994,129.850006,128.149994,128.350006,126.340225,396580
2017-11-10,128.350006,128.949997,127.400002,127.599998,125.601967,377580
2017-11-13,127.699997,128.350006,125.900002,126.599998,124.617622,657146
2017-11-14,126.500000,127.050003,125.900002,126.250000,124.273109,398179
2017-11-15,125.900002,126.550003,125.000000,126.400002,124.420761,487089
2017-11-16,126.599998,128.000000,126.500000,127.699997,125.700394,395426
2017-11-17,128.199997,128.600006,127.699997,128.149994,126.143349,512225
2017-11-20,127.000000,128.350006,126.750000,127.949997,127.016937,444039
2017-11-21,127.949997,129.050003,127.550003,128.699997,127.761467,408311
2017-11-22,128.750000,129.350006,128.350006,128.850006,127.910385,361344
2017-11-23,128.300003,129.750000,127.650002,129.100006,128.158554,372437
2017-11-24,129.250000,130.550003,129.250000,129.649994,128.704529,454027
2017-11-27,129.449997,129.899994,128.750000,129.300003,128.357101,372349
2017-11-28,129.300003,130.800003,128.850006,130.250000,129.300171,387517
2017-11-29,130.600006,131.350006,130.250000,130.600006,129.647614,753562
2017-11-30,130.449997,131.350006,130.449997,131.050003,130.094330,706849
2017-12-01,130.949997,130.949997,128.899994,129.000000,128.059280,545646
2017-12-04,129.500000,130.300003,128.949997,129.949997,129.002350,388797
2017-12-05,129.699997,131.199997,129.000000,131.050003,130.094330,366486
2017-12-06,130.300003,132.600006,129.899994,132.399994,131.434479,387365
2017-12-07,132.350006,132.649994,131.850006,132.199997,131.235947,319369
2017-12-08,132.600006,132.600006,131.600006,132.000000,131.037399,317497
2017-12-11,131.899994,132.100006,131.199997,131.250000,130.292877,219748
2017-12-12,130.350006,130.550003,128.800003,129.550003,128.605270,747383
2017-12-13,129.550003,130.000000,128.149994,129.350006,128.406738,484977
2017-12-14,129.399994,129.800003,128.500000,129.050003,128.108917,415832
2017-12-15,128.500000,129.100006,127.400002,129.100006,128.158554,684526
2017-12-18,129.550003,131.649994,129.300003,131.100006,130.143967,426370
2017-12-19,130.699997,131.750000,130.449997,130.699997,129.746887,364676
2017-12-20,130.399994,130.899994,129.399994,129.699997,128.754181,321657
2017-12-21,129.600006,130.800003,128.800003,130.750000,129.796524,305229
2017-12-22,130.750000,131.550003,130.199997,130.800003,129.846161,225707
2017-12-27,130.050003,132.149994,130.000000,131.899994,130.938126,328552
2017-12-28,132.100006,132.750000,131.350006,131.649994,130.689957,242285
2017-12-29,131.250000,132.250000,131.000000,131.949997,130.987762,240939
2018-01-02,132.050003,132.100006,130.149994,130.250000,129.300171,327359
2018-01-03,130.250000,131.750000,129.449997,131.199997,130.243240,331727
2018-01-04,131.750000,131.949997,129.949997,131.250000,130.292877,412113
2018-01-05,131.649994,131.949997,130.399994,131.949997,130.987762,431872
2018-01-08,132.000000,132.550003,130.800003,132.300003,131.335220,439856
2018-01-09,132.399994,133.399994,132.050003,133.399994,132.427185,424823
2018-01-10,133.350006,133.550003,131.100006,131.850006,130.888504,641080
2018-01-11,133.000000,133.600006,131.250000,131.750000,130.789230,511282
2018-01-12,131.600006,132.000000,130.750000,130.949997,129.995056,331722
2018-01-15,131.000000,131.399994,130.600006,130.600006,129.647614,215040
2018-01-16,130.949997,131.300003,130.050003,130.449997,129.498703,404049
2018-01-17,130.500000,131.649994,130.300003,131.000000,130.044693,403185
2018-01-18,131.649994,131.649994,130.050003,130.949997,129.995056,546515
2018-01-19,130.199997,130.899994,128.899994,130.000000,129.051987,594955
2018-01-22,129.000000,130.649994,128.949997,130.100006,129.151260,405278
2018-01-23,131.050003,131.600006,130.199997,131.350006,130.392151,336416
2018-01-24,131.449997,131.550003,128.399994,128.399994,127.463654,477848
2018-01-25,128.600006,129.449997,127.650002,128.149994,127.215477,469508
2018-01-26,128.399994,130.399994,128.399994,130.100006,129.151260,312077
2018-01-29,130.050003,130.100006,128.100006,128.100006,127.165848,325741
2018-01-30,129.500000,130.500000,128.800003,129.050003,128.108917,479030
2018-01-31,129.350006,129.449997,128.300003,128.300003,127.364388,422340
2018-02-01,128.800003,129.800003,127.650002,128.600006,127.662201,442039
2018-02-02,127.949997,128.300003,126.849998,126.900002,125.974594,380858
2018-02-05,126.400002,126.800003,125.050003,125.250000,124.336632,319473
2018-02-06,122.000000,125.550003,120.050003,122.650002,121.755592,1025873
2018-02-07,123.500000,124.900002,122.900002,124.650002,123.741005,534157
2018-02-08,127.250000,128.000000,126.599998,127.300003,126.371681,766286
2018-02-09,126.500000,128.500000,125.900002,127.400002,126.470947,745775
2018-02-12,128.199997,129.800003,127.250000,129.100006,128.158554,491923
2018-02-13,129.000000,129.649994,128.500000,128.949997,128.009644,447513
2018-02-14,129.550003,131.949997,129.250000,131.449997,130.491409,674523
2018-02-15,130.750000,131.399994,129.449997,131.350006,130.392151,505544
2018-02-16,131.750000,134.750000,131.449997,134.600006,133.618454,529104
2018-02-19,134.350006,134.500000,133.149994,133.550003,132.576111,298924
2018-02-20,133.300003,134.000000,132.800003,133.000000,132.030106,304259
2018-02-21,132.500000,134.649994,132.300003,134.300003,133.320633,293502
2018-02-22,134.500000,134.699997,133.449997,134.300003,133.320633,351020
2018-02-23,134.949997,135.399994,134.399994,134.600006,133.618454,374555
2018-02-26,135.149994,136.250000,135.050003,135.550003,134.561523,270610
2018-02-27,135.550003,136.199997,135.050003,135.149994,134.164429,302774
2018-02-28,135.000000,135.800003,134.550003,135.000000,134.015533,383368
2018-03-01,134.649994,135.300003,132.399994,133.149994,132.179016,552484
2018-03-02,132.500000,133.250000,130.000000,130.449997,129.498703,619369
2018-03-05,130.449997,131.350006,130.000000,131.100006,130.143967,457928
2018-03-06,131.550003,132.000000,130.500000,130.899994,129.945419,327560
2018-03-07,130.399994,132.000000,130.350006,132.000000,131.037399,399120
2018-03-08,132.149994,133.949997,131.449997,133.500000,132.526459,341099
2018-03-09,133.449997,134.300003,133.050003,133.699997,132.725006,477515
2018-03-12,134.850006,135.300003,134.300003,135.000000,134.015533,291654
2018-03-13,135.350006,135.449997,133.899994,134.649994,133.668076,388032
2018-03-14,134.500000,135.149994,134.000000,134.449997,133.469528,341039
2018-03-15,134.800003,135.500000,134.300003,135.399994,134.412598,343153
2018-03-16,134.949997,135.800003,133.399994,133.399994,132.427185,921825
2018-03-19,131.750000,132.649994,131.199997,131.949997,130.987762,461640
2018-03-20,131.449997,133.600006,131.449997,133.500000,132.526459,304608
2018-03-21,133.600006,134.050003,132.750000,133.250000,132.278290,243908
2018-03-22,132.699997,133.800003,132.300003,133.600006,132.625748,458877
2018-03-23,132.500000,133.750000,131.649994,133.350006,132.377563,516843
2018-03-26,133.750000,133.850006,131.449997,132.000000,131.037399,576950
2018-03-27,133.149994,133.500000,131.500000,132.399994,131.434479,540736
2018-03-28,132.000000,134.000000,131.600006,134.000000,133.022827,480277
2018-03-29,134.500000,135.899994,133.750000,135.250000,134.263702,551978
2018-04-03,134.699997,135.899994,134.149994,135.899994,134.908951,623788
2018-04-04,136.000000,137.699997,134.899994,137.699997,136.695831,674756
2018-04-05,139.000000,139.649994,138.149994,139.399994,138.383438,590917
2018-04-06,138.899994,140.100006,138.750000,139.750000,138.730896,301412
2018-04-09,139.899994,141.050003,139.800003,139.949997,138.929428,398071
2018-04-10,141.149994,141.149994,139.050003,139.600006,138.581985,626969
2018-04-11,139.449997,139.949997,138.800003,139.399994,138.383438,404206
2018-04-12,139.500000,139.800003,137.949997,138.500000,137.490005,441996
2018-04-13,138.949997,139.899994,138.300003,139.750000,138.730896,330845
2018-04-16,139.899994,140.350006,139.149994,140.350006,139.326523,290758
2018-04-17,140.800003,140.949997,140.000000,140.000000,138.979065,438514
2018-04-18,139.800003,140.350006,137.449997,139.399994,138.383438,707744
2018-04-19,141.250000,141.899994,137.500000,138.699997,137.688538,583044
2018-04-20,139.050003,139.399994,138.300003,139.000000,137.986359,467468
2018-04-23,138.050003,138.500000,135.000000,136.449997,135.454956,692718
2018-04-24,136.850006,137.750000,135.100006,135.899994,134.908951,716424
2018-04-25,135.300003,136.250000,135.149994,135.899994,134.908951,384279
2018-04-26,136.149994,136.550003,135.500000,136.050003,135.057877,406700
2018-04-27,136.199997,138.250000,136.149994,137.899994,136.894379,391529
2018-04-30,137.800003,138.300003,137.449997,137.550003,136.546936,398763
2018-05-02,137.100006,137.899994,136.800003,137.399994,136.398026,495932
2018-05-03,137.399994,138.949997,137.149994,138.199997,137.192184,496163
2018-05-04,138.300003,139.000000,137.899994,137.899994,136.894379,387189
2018-05-07,137.949997,138.500000,137.750000,138.100006,137.092926,206234
2018-05-08,138.050003,138.850006,137.500000,138.149994,137.142548,446331
2018-05-09,138.449997,138.449997,137.399994,137.800003,136.795105,309702
2018-05-10,137.800003,138.899994,137.649994,138.699997,137.688538,243087
2018-05-11,138.500000,138.949997,137.750000,138.350006,137.341110,254465
2018-05-14,138.350006,139.050003,137.800003,139.050003,138.035995,251674
2018-05-15,138.800003,140.250000,138.550003,139.100006,138.085632,398189
2018-05-16,138.949997,140.000000,138.550003,139.750000,138.730896,286411
2018-05-17,139.600006,139.899994,138.949997,139.750000,138.730896,301911
2018-05-18,139.699997,140.000000,138.750000,139.000000,137.986359,401708
2018-05-21,139.350006,141.600006,139.250000,141.300003,140.269592,309485
2018-05-22,141.500000,141.949997,140.699997,140.949997,139.922134,367754
2018-05-23,141.149994,142.149994,140.449997,141.699997,140.666672,431002
2018-05-24,142.050003,144.199997,141.800003,143.199997,142.155731,475307
2018-05-25,143.300003,145.649994,143.250000,145.600006,144.538239,477929
2018-05-28,146.000000,146.449997,145.149994,145.850006,144.786407,221634
2018-05-29,145.500000,146.199997,144.800003,145.600006,144.538239,560823
2018-05-30,145.800003,145.800003,144.100006,144.449997,143.396606,410108
2018-05-31,144.800003,145.649994,143.500000,143.699997,142.652084,609127
2018-06-01,144.399994,144.399994,142.250000,142.699997,141.659378,499398
2018-06-04,143.149994,144.300003,143.050003,143.600006,142.552826,450542
2018-06-05,143.949997,146.449997,143.750000,144.000000,142.949890,429690
2018-06-06,144.000000,144.550003,141.149994,141.449997,140.418488,478016
2018-06-07,142.350006,142.350006,139.449997,140.500000,139.475418,444401
2018-06-08,140.300003,141.550003,139.750000,141.100006,140.071045,518351
2018-06-11,141.949997,142.800003,141.399994,141.899994,140.865204,402387
2018-06-12,142.649994,144.550003,142.649994,144.500000,143.446243,518045
2018-06-13,144.750000,145.550003,144.750000,144.850006,143.793701,366504
2018-06-14,144.000000,145.500000,142.500000,144.899994,143.843323,479102
2018-06-15,145.449997,147.750000,145.000000,147.250000,146.176193,693237
2018-06-18,144.850006,145.399994,142.699997,144.399994,143.346970,500651
2018-06-19,143.399994,144.350006,142.350006,142.600006,141.560104,587054
2018-06-20,143.500000,143.649994,141.550003,141.550003,140.517761,494783
2018-06-21,141.800003,142.649994,139.500000,139.850006,138.830170,633210
2018-06-22,139.199997,141.300003,138.649994,141.199997,140.170319,555737
2018-06-25,141.300003,141.350006,139.500000,139.500000,138.482712,262970
2018-06-26,140.050003,140.899994,138.899994,139.149994,138.135254,344730
2018-06-27,139.449997,140.949997,138.199997,139.600006,138.581985,413111
2018-06-28,139.250000,140.649994,138.850006,139.350006,138.333817,438360
2018-06-29,140.149994,141.149994,139.899994,139.899994,138.879791,425779
2018-07-02,139.899994,139.899994,138.350006,139.149994,138.135254,391519
2018-07-03,138.899994,140.149994,137.899994,138.500000,137.490005,456675
2018-07-04,137.500000,138.550003,137.100006,137.600006,137.600006,316305
2018-07-05,137.449997,138.250000,137.100006,137.199997,137.199997,447305
2018-07-06,137.449997,138.550003,137.350006,137.949997,137.949997,402454
2018-07-09,138.399994,138.550003,137.750000,137.850006,137.850006,298707
2018-07-10,138.050003,138.350006,136.949997,138.100006,138.100006,367423
2018-07-11,137.100006,137.800003,136.199997,136.899994,136.899994,436129
2018-07-12,137.300003,139.399994,137.250000,138.350006,138.350006,472899
2018-07-13,138.550003,139.199997,137.899994,138.050003,138.050003,288780
2018-07-16,138.000000,138.899994,137.250000,137.600006,137.600006,290090
2018-07-17,137.750000,137.949997,136.899994,137.699997,137.699997,306931
2018-07-18,138.100006,138.649994,137.350006,137.699997,137.699997,451985
2018-07-19,137.550003,138.399994,136.800003,137.500000,137.500000,566306
2018-07-20,137.600006,139.149994,137.350006,138.699997,138.699997,622654
2018-07-23,138.300003,138.300003,137.050003,137.250000,137.250000,358115
2018-07-24,137.850006,138.800003,137.149994,137.149994,137.149994,437012
2018-07-25,137.350006,138.250000,137.350006,137.899994,137.899994,457445
2018-07-26,138.649994,138.649994,137.050003,137.699997,137.699997,461401
2018-07-27,137.350006,138.199997,137.300003,137.649994,137.649994,398248
2018-07-30,137.350006,138.050003,136.899994,137.000000,137.000000,289439
2018-07-31,137.100006,138.449997,136.600006,137.949997,137.949997,476070
2018-08-01,137.949997,139.050003,137.699997,138.600006,138.600006,380566
2018-08-02,138.149994,141.100006,138.000000,140.449997,140.449997,570371
2018-08-03,140.649994,140.750000,138.850006,140.600006,140.600006,323383
2018-08-06,140.850006,141.050003,139.449997,139.899994,139.899994,266231
2018-08-07,140.050003,140.500000,139.649994,139.699997,139.699997,233488
2018-08-08,139.949997,140.300003,139.649994,140.000000,140.000000,251886
2018-08-09,140.000000,140.449997,139.500000,140.100006,140.100006,322201
2018-08-10,139.000000,139.850006,138.600006,138.750000,138.750000,361479
