Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,80.300003,80.989998,80.300003,80.510002,78.200760,1008619
2017-10-25,81.459999,81.610001,80.379997,80.489998,78.181320,1274808
2017-10-26,80.910004,83.129997,80.760002,82.959999,80.580482,1885780
2017-10-27,83.010002,83.410004,82.410004,82.949997,80.570763,1326149
2017-10-30,82.949997,84.070000,82.860001,83.800003,81.396393,1146921
2017-10-31,83.900002,84.300003,83.480003,84.050003,81.639214,1173233
2017-11-01,84.209999,84.589996,83.949997,84.199997,81.784904,1037923
2017-11-02,84.449997,85.430000,84.449997,84.800003,82.367706,1237290
2017-11-03,85.010002,85.830002,84.760002,85.830002,83.368164,1105120
2017-11-06,85.500000,85.860001,85.220001,85.699997,83.241882,1279758
2017-11-07,85.150002,85.610001,84.989998,85.150002,83.378975,1265729
2017-11-08,85.239998,85.800003,85.000000,85.510002,83.731491,1265573
2017-11-09,86.730003,86.760002,84.690002,85.129997,83.359390,1501212
2017-11-10,85.120003,85.120003,84.320000,84.320000,82.566238,1283382
2017-11-13,84.610001,84.720001,83.320000,83.669998,81.929756,1519781
2017-11-14,83.709999,84.269997,83.379997,83.800003,82.057060,1309574
2017-11-15,83.620003,84.059998,82.989998,83.830002,82.086433,1297592
2017-11-16,84.550003,86.000000,84.440002,85.599998,83.819618,1461498
2017-11-17,85.589996,85.599998,84.669998,84.860001,83.095009,1180115
2017-11-20,84.779999,85.559998,84.300003,85.349998,83.574814,979771
2017-11-21,85.379997,86.320000,84.820000,85.620003,83.839203,1103793
2017-11-22,85.529999,86.879997,85.300003,86.559998,84.759651,1372869
2017-11-23,86.510002,87.419998,86.220001,86.849998,85.043617,1006792
2017-11-24,86.699997,87.370003,86.300003,86.650002,84.847778,699044
2017-11-27,86.730003,87.480003,86.150002,86.150002,84.358177,1295847
2017-11-28,86.400002,87.239998,86.260002,86.930000,85.121956,1274844
2017-11-29,87.199997,87.349998,86.720001,86.900002,85.092583,1208165
2017-11-30,87.059998,87.309998,85.839996,85.839996,84.054619,2414075
2017-12-01,86.279999,86.279999,84.620003,84.919998,83.153755,1955794
2017-12-04,85.660004,86.839996,85.300003,86.510002,84.710693,1187995
2017-12-05,86.589996,87.269997,86.589996,87.099998,85.288414,1130714
2017-12-06,86.410004,88.150002,86.150002,87.970001,86.140327,1150761
2017-12-07,88.080002,88.570000,87.620003,88.209999,86.375328,1016495
2017-12-08,88.589996,88.769997,87.559998,87.760002,85.934692,1102432
2017-12-11,88.000000,88.000000,86.379997,86.449997,84.651932,1099258
2017-12-12,86.540001,87.059998,85.849998,86.949997,85.141533,1027996
2017-12-13,86.769997,87.250000,86.230003,86.230003,84.436516,1500199
2017-12-14,86.529999,87.320000,86.449997,86.449997,84.651932,1173227
2017-12-15,86.150002,87.029999,85.800003,87.029999,85.219872,1860064
2017-12-18,87.550003,87.889999,87.080002,87.839996,86.013023,1659510
2017-12-19,87.419998,87.730003,86.849998,87.209999,85.396133,958000
2017-12-20,86.680000,87.120003,86.000000,86.239998,84.446304,1079205
2017-12-21,85.769997,86.379997,85.620003,86.239998,84.446304,1041663
2017-12-22,85.800003,86.230003,85.510002,85.930000,84.142754,843798
2017-12-27,85.480003,86.029999,85.250000,85.750000,83.966499,756664
2017-12-28,85.870003,86.279999,85.480003,85.620003,83.839203,820795
2017-12-29,85.510002,85.699997,85.150002,85.150002,83.378975,836140
2018-01-02,85.660004,85.660004,84.360001,84.919998,83.153755,1109673
2018-01-03,84.779999,84.919998,84.300003,84.559998,82.801247,1340638
2018-01-04,84.919998,87.080002,84.720001,86.680000,84.877151,1492458
2018-01-05,87.000000,88.239998,86.720001,88.239998,86.404709,1360842
2018-01-08,88.440002,88.620003,87.900002,88.400002,86.561378,940734
2018-01-09,87.980003,88.800003,87.860001,88.559998,86.718048,948516
2018-01-10,88.360001,88.419998,86.779999,87.580002,85.758438,1153011
2018-01-11,87.580002,87.720001,85.279999,85.320000,83.545441,1942606
2018-01-12,85.620003,85.720001,84.639999,85.199997,83.427933,1325463
2018-01-15,85.300003,85.400002,84.320000,84.580002,82.820831,1234315
2018-01-16,84.839996,87.540001,84.839996,87.540001,85.719269,1854817
2018-01-17,86.959999,87.839996,86.739998,87.419998,85.601761,1324738
2018-01-18,87.620003,87.720001,87.019997,87.400002,85.582184,1108787
2018-01-19,87.279999,88.000000,87.040001,87.760002,85.934692,1243740
2018-01-22,87.279999,88.000000,87.160004,88.000000,86.169701,969356
2018-01-23,88.000000,88.360001,87.239998,87.660004,85.836777,870553
2018-01-24,87.660004,87.919998,86.959999,86.959999,85.151329,845590
2018-01-25,86.980003,87.940002,86.639999,87.199997,85.386337,1130110
2018-01-26,87.339996,88.459999,87.279999,88.080002,86.248039,994221
2018-01-29,88.099998,88.260002,87.559998,87.559998,85.738846,952111
2018-01-30,87.000000,87.419998,86.739998,86.739998,84.935905,1376200
2018-01-31,86.739998,87.440002,86.639999,87.000000,85.190498,1355628
2018-02-01,87.000000,87.160004,85.739998,86.099998,84.309219,1387208
2018-02-02,85.800003,86.040001,84.879997,84.879997,83.114594,1571498
2018-02-05,84.180000,84.199997,82.239998,83.419998,81.684959,1801817
2018-02-06,81.099998,83.379997,81.000000,82.760002,81.038689,3730691
2018-02-07,83.160004,83.620003,82.139999,83.620003,81.880798,1840880
2018-02-08,83.500000,83.800003,80.120003,80.580002,78.904030,2579678
2018-02-09,80.199997,80.680000,77.559998,77.879997,76.260185,3585612
2018-02-12,78.879997,80.080002,78.680000,79.919998,78.257751,2251811
2018-02-13,80.000000,80.339996,79.300003,79.940002,78.277344,1653476
2018-02-14,80.680000,81.379997,79.680000,81.120003,79.432800,1967374
2018-02-15,81.839996,82.040001,81.339996,82.000000,80.294495,1519000
2018-02-16,82.379997,83.599998,81.980003,83.019997,81.293274,1961526
2018-02-19,83.459999,83.500000,82.099998,82.199997,80.490334,863365
2018-02-20,82.019997,82.839996,82.019997,82.779999,81.058266,1187714
2018-02-21,82.379997,82.919998,81.779999,82.900002,81.175774,951412
2018-02-22,82.160004,82.739998,81.080002,82.540001,80.823265,1469911
2018-02-23,82.620003,83.199997,82.400002,82.900002,81.175774,1054426
2018-02-26,82.279999,82.860001,82.279999,82.639999,80.921181,1350458
2018-02-27,83.000000,83.120003,82.519997,82.680000,80.960350,1205547
2018-02-28,82.480003,82.680000,81.260002,81.320000,79.628639,1639121
2018-03-01,81.000000,81.680000,79.940002,79.980003,78.316513,1634512
2018-03-02,79.419998,79.540001,78.540001,78.860001,77.219803,1955518
2018-03-05,78.760002,80.040001,78.720001,80.000000,78.336090,1205915
2018-03-06,80.599998,80.919998,79.220001,79.639999,77.983582,1181287
2018-03-07,79.500000,80.379997,79.059998,79.919998,78.257751,1268385
2018-03-08,80.080002,81.260002,79.620003,81.139999,79.452377,1687786
2018-03-09,81.239998,81.760002,80.699997,81.199997,79.511131,1048055
2018-03-12,81.820000,81.860001,80.540001,81.040001,79.354462,881487
2018-03-13,81.160004,81.400002,80.279999,80.620003,78.943199,1222310
2018-03-14,80.620003,81.239998,80.320000,80.919998,79.236954,1052340
2018-03-15,81.500000,81.820000,81.040001,81.360001,79.667809,1150187
2018-03-16,81.320000,82.180000,81.099998,82.080002,80.372833,2984740
2018-03-19,81.919998,81.940002,80.540001,80.639999,78.962776,1120168
2018-03-20,80.720001,81.120003,80.519997,80.820000,79.139038,871923
2018-03-21,80.820000,80.980003,80.080002,80.360001,78.688606,874264
2018-03-22,80.000000,80.400002,78.739998,79.260002,77.611481,1412669
2018-03-23,78.519997,79.300003,77.940002,78.480003,76.847710,2066636
2018-03-26,78.820000,79.500000,77.860001,78.139999,76.514778,1680563
2018-03-27,79.519997,80.059998,79.260002,79.980003,78.316513,1485647
2018-03-28,79.300003,80.320000,78.639999,79.959999,78.296921,1359885
2018-03-29,80.139999,80.220001,79.519997,79.900002,78.238174,1249232
2018-04-03,79.199997,79.720001,78.980003,78.980003,77.337311,1107475
2018-04-04,78.940002,79.080002,77.599998,78.320000,76.691032,1237373
2018-04-05,79.540001,80.699997,79.279999,80.699997,79.021530,1321786
2018-04-06,80.580002,80.599998,79.900002,80.220001,78.551514,682636
2018-04-09,80.900002,80.919998,80.260002,80.779999,79.099869,937686
2018-04-10,81.099998,81.099998,80.559998,81.099998,79.413208,791021
2018-04-11,80.639999,80.940002,80.160004,80.500000,78.825691,1070320
2018-04-12,80.540001,80.839996,79.900002,80.620003,78.943199,1107097
2018-04-13,81.239998,82.959999,81.180000,82.620003,80.901604,1537415
2018-04-16,82.620003,82.820000,82.300003,82.720001,80.999519,835064
2018-04-17,82.860001,83.180000,82.019997,82.959999,81.234528,1259237
2018-04-18,82.959999,83.339996,82.419998,83.320000,81.587036,1182926
2018-04-19,83.379997,83.739998,82.900002,83.739998,81.998299,1017653
2018-04-20,83.779999,84.500000,83.599998,84.500000,82.742493,1632023
2018-04-23,84.500000,84.779999,83.739998,84.620003,82.860001,1243848
2018-04-24,83.160004,84.080002,82.680000,83.559998,83.559998,1838337
2018-04-25,83.059998,83.199997,81.639999,82.500000,82.500000,1111378
2018-04-26,82.360001,83.559998,82.220001,82.980003,82.980003,1251113
2018-04-27,82.580002,83.019997,82.220001,82.760002,82.760002,1156828
2018-04-30,82.720001,83.139999,82.699997,83.099998,83.099998,1247289
2018-05-02,83.419998,84.440002,83.360001,84.339996,84.339996,1602736
2018-05-03,85.000000,85.220001,83.959999,83.980003,83.980003,1389689
2018-05-04,84.360001,84.900002,84.139999,84.699997,84.699997,1099191
2018-05-07,84.620003,85.099998,84.379997,85.099998,85.099998,569048
2018-05-08,84.919998,85.000000,84.379997,84.760002,84.760002,1094454
2018-05-09,84.699997,85.199997,84.580002,85.160004,85.160004,1012757
2018-05-10,84.980003,85.879997,84.980003,85.580002,85.580002,672237
2018-05-11,85.559998,85.720001,85.320000,85.540001,85.540001,853596
2018-05-14,85.480003,85.779999,85.120003,85.779999,85.779999,782016
2018-05-15,85.580002,85.739998,84.720001,85.120003,85.120003,1152207
2018-05-16,84.839996,85.639999,84.839996,85.400002,85.400002,957036
2018-05-17,85.080002,85.760002,84.839996,85.699997,85.699997,1143247
2018-05-18,85.699997,86.940002,85.680000,86.940002,86.940002,2769390
2018-05-21,86.919998,87.320000,86.500000,86.919998,86.919998,724479
2018-05-22,87.000000,87.339996,86.739998,87.260002,87.260002,1165751
2018-05-23,86.959999,87.320000,85.739998,85.839996,85.839996,1612525
2018-05-24,86.080002,86.300003,85.419998,85.699997,85.699997,1032886
2018-05-25,86.040001,86.400002,85.300003,85.699997,85.699997,1331670
2018-05-28,86.239998,86.680000,85.559998,85.720001,85.720001,764543
2018-05-29,84.940002,85.080002,84.059998,84.059998,84.059998,1672303
2018-05-30,84.180000,84.400002,83.620003,84.099998,84.099998,1638422
2018-05-31,84.300003,84.680000,83.519997,83.720001,83.720001,1790176
2018-06-01,84.360001,85.260002,84.220001,84.980003,84.980003,1261742
2018-06-04,85.440002,85.660004,85.139999,85.339996,85.339996,895144
2018-06-05,85.220001,86.000000,84.919998,84.919998,84.919998,880952
2018-06-06,84.959999,85.400002,84.220001,84.959999,84.959999,1111582
2018-06-07,85.279999,85.500000,84.519997,84.620003,84.620003,886634
2018-06-08,84.160004,84.680000,83.800003,84.320000,84.320000,1157669
2018-06-11,84.320000,84.500000,83.760002,84.459999,84.459999,1363373
2018-06-12,84.940002,84.980003,83.879997,84.080002,84.080002,1138989
2018-06-13,84.320000,84.459999,83.739998,84.000000,84.000000,1051470
2018-06-14,83.540001,85.860001,83.419998,85.800003,85.800003,1651187
2018-06-15,85.959999,86.239998,85.040001,85.040001,85.040001,2396375
2018-06-18,84.879997,84.940002,83.739998,83.980003,83.980003,1148826
2018-06-19,83.220001,84.559998,82.980003,84.500000,84.500000,1604767
2018-06-20,84.820000,84.980003,83.900002,83.959999,83.959999,1187321
2018-06-21,84.160004,84.239998,82.239998,82.480003,82.480003,1490876
2018-06-22,82.940002,83.239998,82.540001,83.220001,83.220001,1366400
2018-06-25,82.779999,83.220001,82.160004,82.160004,82.160004,990298
2018-06-26,82.459999,83.040001,82.040001,82.599998,82.599998,880075
2018-06-27,82.300003,83.320000,81.779999,82.559998,82.559998,1170518
2018-06-28,82.160004,82.620003,81.440002,81.720001,81.720001,1436333
2018-06-29,82.500000,83.019997,82.099998,82.360001,82.360001,1587964
2018-07-02,81.540001,81.820000,81.080002,81.419998,81.419998,1189434
2018-07-03,81.760002,83.059998,81.559998,83.000000,83.000000,1536955
2018-07-04,83.080002,83.480003,82.720001,83.419998,83.419998,710321
2018-07-05,83.639999,84.779999,83.440002,84.500000,84.500000,1343755
2018-07-06,84.620003,85.099998,84.400002,84.760002,84.760002,1011556
2018-07-09,85.080002,85.459999,84.940002,85.239998,85.239998,969492
2018-07-10,85.500000,85.940002,85.279999,85.800003,85.800003,923106
2018-07-11,85.199997,85.820000,84.980003,85.279999,85.279999,1093555
2018-07-12,85.599998,86.220001,85.000000,86.220001,86.220001,1067951
2018-07-13,86.320000,86.680000,85.540001,85.660004,85.660004,962939
2018-07-16,85.739998,86.300003,85.739998,86.099998,86.099998,668645
2018-07-17,86.040001,86.360001,85.620003,86.239998,86.239998,759550
2018-07-18,86.419998,86.519997,85.480003,85.500000,85.500000,959852
2018-07-19,85.239998,85.800003,84.580002,84.580002,84.580002,1063282
2018-07-20,84.559998,84.559998,83.339996,84.339996,84.339996,1519076
2018-07-23,84.279999,84.279999,83.599998,84.099998,84.099998,636729
2018-07-24,84.500000,85.820000,84.099998,84.900002,84.900002,1208103
2018-07-25,84.940002,85.019997,83.959999,84.059998,84.059998,1247176
2018-07-26,83.760002,84.559998,83.360001,84.540001,84.540001,1427005
2018-07-27,86.959999,87.360001,84.779999,87.360001,87.360001,1762499
2018-07-30,87.000000,87.379997,86.120003,86.120003,86.120003,953893
2018-07-31,86.440002,86.519997,85.680000,86.000000,86.000000,1187217
2018-08-01,85.980003,85.980003,84.540001,84.540001,84.540001,1056199
2018-08-02,84.239998,84.599998,83.239998,83.519997,83.519997,1378897
2018-08-03,83.720001,84.580002,83.720001,84.440002,84.440002,867917
2018-08-06,84.480003,84.580002,83.820000,84.120003,84.120003,648803
2018-08-07,84.300003,85.199997,84.279999,84.860001,84.860001,673093
2018-08-08,84.959999,85.099998,84.419998,84.620003,84.620003,639194
2018-08-09,84.519997,84.620003,83.839996,84.500000,84.500000,571236
2018-08-10,83.959999,84.220001,82.660004,83.160004,83.160004,1487617
2018-08-13,83.180000,83.540001,82.779999,83.120003,83.120003,1059898
2018-08-14,83.300003,83.440002,82.760002,83.180000,83.180000,813613
2018-08-15,83.360001,83.459999,81.180000,81.440002,81.440002,1280649
2018-08-16,81.760002,81.919998,80.040001,81.220001,81.220001,1415378
2018-08-17,81.160004,82.459999,81.139999,81.919998,81.919998,1171465
2018-08-20,82.080002,82.660004,81.919998,82.000000,82.000000,857921
2018-08-21,81.699997,83.400002,81.660004,83.000000,83.000000,777762
2018-08-22,82.959999,83.419998,82.779999,83.239998,83.239998,835691
2018-08-23,83.379997,83.639999,83.059998,83.239998,83.239998,658979
2018-08-24,83.059998,83.379997,82.879997,83.099998,83.099998,621991
2018-08-27,83.400002,83.839996,83.059998,83.599998,83.599998,536842
2018-08-28,83.680000,83.800003,83.099998,83.099998,83.099998,772759
2018-08-29,83.260002,83.660004,83.120003,83.599998,83.599998,690433
2018-08-30,83.720001,85.379997,83.559998,83.660004,83.660004,1027399
2018-08-31,83.599998,83.760002,82.480003,82.559998,82.559998,1543118
2018-09-03,82.199997,82.540001,81.580002,82.120003,82.120003,637072
2018-09-04,82.239998,82.260002,80.559998,81.099998,81.099998,1167046
2018-09-05,80.839996,80.900002,79.199997,79.459999,79.459999,1594497
2018-09-06,80.059998,81.180000,79.360001,80.400002,80.400002,1726724
2018-09-07,80.680000,80.860001,80.199997,80.239998,80.239998,1092254
2018-09-10,80.160004,81.339996,79.620003,80.900002,80.900002,857060
2018-09-11,81.019997,81.260002,80.459999,80.959999,80.959999,755647
2018-09-12,80.860001,81.080002,80.500000,80.760002,80.760002,938101
2018-09-13,80.599998,81.199997,80.320000,80.500000,80.500000,920872
2018-09-14,80.980003,80.980003,80.139999,80.720001,80.720001,937747
2018-09-17,80.339996,80.820000,80.220001,80.580002,80.580002,830764
2018-09-18,80.760002,81.980003,80.540001,81.800003,81.800003,1108432
2018-09-19,81.739998,81.800003,80.800003,80.820000,80.820000,970684
2018-09-20,80.980003,82.419998,80.879997,81.860001,81.860001,1233146
2018-09-21,81.879997,83.019997,81.839996,83.000000,83.000000,3552921
2018-09-24,82.500000,82.800003,81.540001,81.559998,81.559998,1163129
2018-09-25,81.500000,82.400002,81.500000,82.160004,82.160004,868280
2018-09-26,82.279999,82.440002,82.019997,82.199997,82.199997,1183192
2018-09-27,81.779999,82.559998,81.239998,82.400002,82.400002,917591
2018-09-28,82.019997,82.139999,81.160004,82.019997,82.019997,1194769
2018-10-01,82.360001,82.519997,81.820000,82.000000,82.000000,680417
2018-10-02,81.480003,81.739998,81.059998,81.239998,81.239998,872782
2018-10-03,81.360001,82.059998,81.220001,81.500000,81.500000,900728
2018-10-04,81.120003,81.639999,80.900002,80.959999,80.959999,981821
2018-10-05,80.900002,81.360001,80.660004,80.839996,80.839996,916974
2018-10-08,80.500000,80.760002,80.099998,80.199997,80.199997,936621
2018-10-09,80.300003,80.339996,78.919998,79.540001,79.540001,1081010
2018-10-10,79.839996,79.839996,78.900002,78.900002,78.900002,1421893
2018-10-11,78.120003,78.419998,77.120003,77.559998,77.559998,1916660
2018-10-12,78.019997,78.160004,76.940002,77.040001,77.040001,1605911
2018-10-15,77.040001,77.360001,76.779999,77.139999,77.139999,1293892
2018-10-16,77.160004,78.820000,77.019997,78.720001,78.720001,1123878
2018-10-17,78.820000,79.099998,78.099998,78.440002,78.440002,1097920
2018-10-18,78.339996,78.980003,77.660004,78.040001,78.040001,1027251
2018-10-19,78.040001,78.220001,77.160004,77.639999,77.639999,2131234
2018-10-22,77.959999,78.419998,76.720001,76.720001,76.720001,1195131
2018-10-23,75.500000,76.080002,74.059998,74.459999,74.459999,2077496
